Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Column1,Opposition,Ground,Start DateAscending,_1
1,5,7,0,0,14.28,8,lbw,1,,v Pakistan,Lord's,7/13/2010,Test # 1963
12,32,17,1,0,70.58,9,lbw,3,,v Pakistan,Lord's,7/13/2010,Test # 1963
10,9,8,2,0,125.00,8,bowled,1,,v Pakistan,Leeds,7/21/2010,Test # 1965
77,130,100,9,2,77.00,8,bowled,3,,v Pakistan,Leeds,7/21/2010,Test # 1965
7,46,37,0,0,18.91,6,caught,1,,v England,Perth,12/16/2010,Test # 1984
36,83,62,2,0,58.06,6,caught,3,,v England,Perth,12/16/2010,Test # 1984
6,18,15,0,0,40.00,6,caught,1,,v England,Melbourne,12/26/2010,Test # 1986
38,91,67,6,0,56.71,6,bowled,3,,v England,Melbourne,12/26/2010,Test # 1986
18,85,53,1,0,33.96,7,caught,1,,v England,Sydney,1/3/2011,Test # 1989
54*,132,90,6,0,60.00,7,not out,3,,v England,Sydney,1/3/2011,Test # 1989
92,236,185,10,1,49.72,5,stumped,1,,v India,Mohali,3/14/2013,Test # 2081
5,23,19,0,0,26.31,4,bowled,3,,v India,Mohali,3/14/2013,Test # 2081
46,152,145,3,2,31.72,5,caught,1,,v India,Delhi,3/22/2013,Test # 2085
18,43,53,1,0,33.96,6,bowled,3,,v India,Delhi,3/22/2013,Test # 2085
53,98,79,7,1,67.08,5,caught,2,,v England,Nottingham,7/10/2013,Test # 2090
17,72,48,2,0,35.41,5,lbw,4,,v England,Nottingham,7/10/2013,Test # 2090
2,26,14,0,0,14.28,6,caught,2,,v England,Lord's,7/18/2013,Test # 2091
1,19,14,0,0,7.14,6,caught,4,,v England,Lord's,7/18/2013,Test # 2091
89,289,196,8,0,45.40,5,caught,1,,v England,Manchester,8/1/2013,Test # 2092
19,27,19,0,2,100.00,6,run out,3,,v England,Manchester,8/1/2013,Test # 2092
17,35,34,3,0,50.00,5,caught,2,,v England,Chester-le-Street,8/9/2013,Test # 2093
2,35,19,0,0,10.52,5,bowled,4,,v England,Chester-le-Street,8/9/2013,Test # 2093
138*,382,241,16,2,57.26,5,not out,1,,v England,The Oval,8/21/2013,Test # 2094
